Name : ; Date : January 29, 2025, 9:32 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:33 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:35 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:35 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:36 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:40 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:42 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:43 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:43 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 9:44 am; Request Data : L903955|email:demo@demo.com|test|T|899606|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 9:48 am; Request Data : L903955|email:demo@demo.com|test|T|818323|4.00|INR|https://app.iritaq.info/user/user/response|FIRST_4.00_0.0||1234567890|2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 9:48 am; Request Data : L903955|email:demo@demo.com|test|T|818323|4.00|INR|https://app.iritaq.info/user/user/response|FIRST_4.00_0.0||1234567890|2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 9:49 am; Request Data : 12121|email:demo@demo.com|test|T|98156|4.00|INR|https://app.iritaq.info/user/user/response|FIRST_4.00_0.0||1234567890|2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 9:50 am; Request Data : 12121|email:demo@demo.com|test|T|98156|4.00|INR|https://app.iritaq.info/user/user/response|FIRST_4.00_0.0||1234567890|2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 9:53 am; Request Data : L903955|email:demo@demo.com|test|T|51693|4.00|INR|https://app.iritaq.info/user/user/response|FIRST_4.00_0.0||1234567890|2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 9:54 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:56 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 9:57 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:02 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:02 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:03 am; Request Data : L903955|email:demo@demo.com|test|T|482324|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
